Number,Name,Title,Address,Latitude,Longitude,Message
1,yoinaru,ヨイナル駅,"Yeouido-dong, Seoul",37.5272219793,126.933120651,1番出口
2,hyndai,ザ・現代ソウル,"韓国 Seoul, Yeongdeungpo District, 지하 Yeoui-daero, １０８ 더현대 2층",37.5260687360,126.928582275,GUCCIを目指して探した
3,flower,花屋,"９６−７１ Itaewon-dong, Yongsan District, Seoul, 韓国",37.5315823771,126.993875902,꽃（花）を添えて
4,antique,アンティークショップ,"96-125번지 Itaewon-dong, Yongsan District, Seoul, 韓国",37.5318089066,126.993182551,梨泰院のアンティーク通りにあった
5,olive,オリーブヤング（安国）,"１ Bukchon-ro, Jongno District, Seoul, 韓国",37.5773381993,126.985722364,北村韓屋村をモチーフにしている屋根
6,olive2,オリーブヤング（ソンス）,"１３ Yeonmujang 7-gil, Seongdong-gu, Seoul, 韓国",37.5441087158,127.054865250,比較的大きめのオリヤン
7,cafe,延茂荘,韓国 연무장 8층 ３６ KR 서울특별시 성동구 서울특별시 성동구 연무장길 카페 연무장,37.5430579992,127.053239796,閉業していました
8,market,広蔵市場,"２００−１２ 종로, Jongno District, Seoul, 韓国",37.5703732047,126.999905848,このアングル探すのに時間かかった
9,seoungsu,ソンスの街,"韓国 Seoul, Seongdong-gu, Yeonmujang 3-gil, １７ 1층",37.5451593594,127.051861372,手前の薬局は閉業していた
10,clock,時計,韓国 이태원동 96-76번지 용산구 서울특별시 KR,37.5315600435,126.993752520,時計は5時40分のままとまっていた
11,dior,DIOR,"７ Yeonmujang 5-gil, Seongdong-gu, Seoul, 韓国",37.5438209494,127.052362731,動画から引用
12,keran,ケランパン,"８−３ Chungmuro 2(i)-ga, Jung District, Seoul, 韓国",37.5617007531,126.985830367,明洞の市場で購入
13,gomi,ゴミ,"５１ Noksapyeong-daero 32-gil, Yongsan District, Seoul, 大韓民国",37.5324907260,126.990836352,梨泰院付近のごみ置き場
14,bread,Standard Bread,"３７ Seongsui-ro 18-gil, Seongdong-gu, Seoul, 韓国",37.5417089606,127.061339711,ソンスのパン屋
15,burger,DOWNTOWNER,"６−４ Bukchon-ro, Jongno District, Seoul, 韓国",37.5777778169,126.986325997,おいしかった
16,satur,Satur,"韓国 Seoul, Seongdong-gu, Yeonmujang 17-gil, ６ 2층",37.5414616508,127.061382391,センス良いソンスの服屋
17,bekuchon,北村韓屋村,韓国 가회동 30-10번지 가회동 종로구 서울특별시 KR,37.5815354324,126.984943404,後ろのクレーンを映るようにした
18,kuma,Dalim Bread,"韓国 Seoul, Seongdong-gu, Yeonmujang-gil, ３８−２ 1 층",37.5428116333,127.053773403,パン屋
19,cream,クリームパン,"Myeongdong 2-gil, Jung District, Seoul, 韓国",37.5619080297,126.982760353,クリームいっぱい入っていた